,0
0,0.06251707777649929
1,0.16477952287443076
2,0.03856757265959787
3,0.16406952441648726
4,0.17684253275637918
5,0.047619777053427015
6,0.053205869489631574
7,0.28058155137983254
8,0.23736771087470343
9,0.22396695030649327
10,0.018482159513973473
11,0.5
12,0.1453273793155827
13,0.2803037874666998
14,0.43732908358855827
15,0.02466922153561435
16,0.0024286070915193747
17,0.027411329818183505
18,0.4411811799459926
19,0.1013578948600834
20,0.047769051139126995
21,0.20324380315839696
22,0.35242478102718844
23,0.02907401925737574
24,0.018120513343103162
25,0.14497982424559763
26,0.059131336855261396
27,0.1466799089431735
28,0.0034150946855120434
29,0.22165661114030388
30,0.2828398282262914
31,0.003121035578065645
32,0.189831070469215
33,0.14516584195136562
34,0.1795943640063955
35,0.35242478102718844
36,0.002112573677108598
37,0.133169198273821
38,0.1513648310338821
39,0.09684354506802995
40,0.002112573677108598
41,0.27144814599656053
42,0.09364966406735387
43,0.08769973330585046
44,0.22165661114030388
45,0.16296543382243178
46,0.4411811799459926
47,0.14512615710090893
48,0.17966585550790737
49,0.35242478102718844
50,0.16101432433502472
51,0.07038455788188913
52,0.5
53,0.1532112651473172
54,0.04091963959317435
55,0.02896347567240054
56,0.14632132878449744
57,0.04772615700847793
58,0.12611517807364925
59,0.1612871304821768
60,0.05812299280378708
61,0.18533452403674988
62,0.02574121239542415
63,0.06285126925433315
64,0.0392975439089458
65,0.5
66,0.14804061293438886
67,0.4411811799459926
68,0.027416634970547582
69,0.025082022854788888
70,0.02505279002102956
71,0.2095929139956042
72,0.15210123278261423
73,0.14790314883034006
74,0.03357292787873545
75,0.15742181071955808
76,0.13172275608808126
77,0.028928238291962005
78,0.43148074139186554
79,0.14518220030684004
80,0.1621114325397981
81,0.1795943640063955
82,0.5
83,0.5773039612369174
84,0.002112573677108598
85,0.1543431497330825
86,0.15177511206869598
87,0.09376738491689918
88,0.19796636275364787
89,0.15260423401610557
90,0.5
91,0.011000651484264212
92,0.021616756640510326
93,0.026619262675096955
94,0.4411811799459926
95,0.5
96,0.4411811799459926
97,0.1516721035331583
98,0.1446610779823121
99,0.025363387339206844
