,0
0,0.029934386337717056
1,0.008684951514566053
2,0.002112573677108598
3,0.026857197699516555
4,0.02615355502592609
5,0.0023762653606788087
6,0.00430203566880194
7,0.04742369862205442
8,0.03810242229213079
9,0.0001149425287355621
10,0.09256287423950504
11,0.15595730829316834
12,0.036097869989991316
13,0.12283945002958563
14,0.16792028052490304
15,0.16912108240975543
16,0.06071463040476599
17,0.1452585259479141
18,0.14284480255282017
19,0.004684004713362944
20,0.16840781151045925
21,0.02241818164872511
22,0.00864810390966042
23,0.28553499640520563
24,0.14711700497170777
25,0.15495630518610126
26,0.16919905293690918
27,0.019922128836135422
28,0.10805595146819658
29,0.004416978197537502
30,0.022264589496360565
31,0.11552830960245297
32,0.28553499640520563
33,0.11764336389563257
34,0.018006778193871087
35,0.020626608009975178
36,0.021455358693001414
37,0.1471129283809438
38,0.15214740590180964
39,0.030562866845027514
40,0.02166027968686246
41,0.16507317721126835
42,0.1452493625729453
43,0.144680607875334
44,0.1535182980963381
45,0.1464109983761419
46,0.15015652529504353
47,0.15228278183626753
48,0.15322314214141897
49,0.012163161530355127
50,0.016402236305620432
