,0
0,1.781705617904663
1,11.246585845947266
2,13.718580961227417
3,2.954274892807007
4,1.7481181621551514
5,12.966695547103882
6,1.4929850101470947
7,6.981022357940674
8,4.816885232925415
9,1.2771310806274414
10,0.3839731216430664
11,1.7688398361206055
12,2.1887693405151367
13,2.6368017196655273
14,0.7302942276000977
15,4.768366575241089
16,1.5621490478515625
17,10.218600034713745
18,0.6276974678039551
19,0.7800838947296143
20,0.6261460781097412
21,2.837796449661255
22,1.0453376770019531
23,0.9274168014526367
24,0.6723661422729492
25,1.6869208812713623
26,4.887527704238892
27,0.9589481353759766
28,0.7120048999786377
29,4.645923852920532
30,1.0869059562683105
31,1.7189884185791016
32,4.763850927352905
33,2.7702224254608154
34,1.9131460189819336
35,4.717002868652344
36,2.850083827972412
37,0.6180446147918701
38,2.113732099533081
39,4.7335028648376465
40,0.6852092742919922
41,2.440922737121582
42,0.6500630378723145
43,1.0293841361999512
44,4.707253932952881
45,5.886495113372803
46,8.17655324935913
47,4.62489652633667
48,1.3620946407318115
49,8.820722341537476
50,0.622920036315918
51,0.8728387355804443
52,0.6458628177642822
53,2.803485631942749
54,1.2403485774993896
55,4.787358045578003
56,4.9487364292144775
57,0.16405749320983887
58,0.9746263027191162
59,4.872430801391602
60,5.577003479003906
61,0.7188236713409424
62,4.620130300521851
63,1.7392899990081787
64,10.903874158859253
65,5.032177925109863
66,1.8076419830322266
67,2.5350844860076904
68,2.642803907394409
69,5.10260272026062
70,1.8039448261260986
71,0.9692964553833008
72,1.8225970268249512
73,1.1865241527557373
74,4.705310821533203
75,11.888406991958618
76,0.5840842723846436
77,7.44567608833313
78,4.765308856964111
79,0.845273494720459
80,1.1310207843780518
81,1.9714648723602295
82,5.454984426498413
83,1.746175765991211
84,4.793334484100342
85,4.638418674468994
86,2.445896625518799
87,1.3217062950134277
88,7.817858934402466
89,0.6715621948242188
90,2.601069688796997
91,0.628657341003418
92,0.6949653625488281
93,6.135096549987793
94,12.271408557891846
95,5.508551836013794
96,0.6318473815917969
97,1.6184420585632324
98,1.7526800632476807
99,0.6499214172363281
