,max_depth,max_features,min_samples_leaf,n_estimators,y
0,13,log2,14,955,0.18824192023413477
1,11,log2,12,923,0.18677203079140536
2,7,sqrt,5,747,0.18277632808770006
3,20,auto,16,117,0.19035202622150837
4,2,sqrt,20,383,0.1992180352105578
5,2,auto,1,289,0.19881094701962831
6,1,log2,2,178,0.20685512498977598
7,14,log2,15,275,0.19052186078742994
8,1,sqrt,10,480,0.20566524873840408
9,27,log2,12,856,0.1877002941068776
10,32,auto,14,985,0.18810128949798666
11,28,log2,17,254,0.18908980317343915
12,12,sqrt,17,888,0.1896340923000326
13,14,auto,7,363,0.18281537253220803
14,11,log2,14,968,0.18834189564894444
15,1,log2,3,528,0.20560467739189647
16,1,log2,15,517,0.2055946465629238
17,2,sqrt,20,866,0.19844902133585562
18,4,log2,7,672,0.18668043371937326
19,6,log2,3,942,0.18220119156143055
20,2,log2,12,408,0.1985793076867477
21,3,log2,6,651,0.1908467556227329
