,0
0,1.9029099941253662
1,4.432148456573486
2,0.13862848281860352
3,4.704419374465942
4,0.9025866985321045
5,1.342409610748291
6,2.4693963527679443
7,0.13663554191589355
8,0.08178162574768066
9,1.4640836715698242
10,0.16981005668640137
11,1.1210041046142578
12,0.15558433532714844
13,2.6578917503356934
14,0.15957355499267578
15,2.772585391998291
16,1.437157392501831
17,3.3450539112091064
18,0.14763355255126953
19,0.09970641136169434
20,0.07881569862365723
21,3.381927967071533
22,1.1958036422729492
23,2.6608829498291016
24,3.9643988609313965
25,0.13164734840393066
26,0.09576559066772461
27,0.7529652118682861
28,0.15857601165771484
29,0.07978630065917969
