,max_depth,max_features,min_samples_leaf,n_estimators,y
0,1,log2,2,327,0.28214894372201926
1,8,sqrt,7,327,0.1420784951499161
2,19,log2,7,404,0.14208558807122917
3,27,auto,17,583,0.14764632515273068
4,28,auto,18,427,0.14332634978866443
5,2,log2,11,892,0.16019709709765217
6,10,sqrt,11,112,0.151437107043224
7,34,auto,14,341,0.1459576768616483
8,26,log2,15,334,0.1469075510091844
9,8,log2,12,672,0.14569346294311603
10,30,auto,11,103,0.1515796698704781
11,6,sqrt,4,579,0.14474667714525713
12,9,log2,2,675,0.15010775640619778
13,8,sqrt,1,586,0.15970929151509916
14,12,log2,6,280,0.14329281814469186
15,48,auto,12,968,0.14647001708894525
16,21,auto,19,650,0.14394948008351438
17,22,log2,15,953,0.14728920925461964
18,14,sqrt,17,610,0.1469679931588761
19,33,sqrt,20,167,0.14718496406977244
20,2,auto,19,242,0.17261759067593374
21,5,log2,6,593,0.1439147348979739
22,31,sqrt,14,538,0.1443228334065848
23,9,log2,8,304,0.14384972627339443
24,6,auto,16,549,0.1470225016256297
25,42,auto,1,144,0.16852034871584876
26,1,sqrt,4,994,0.27815960355434044
27,2,auto,12,717,0.16130562784427416
28,3,auto,18,163,0.1512102063505928
29,1,sqrt,12,129,0.27191243309731095
30,7,auto,16,354,0.14632759984046406
31,1,log2,12,303,0.282250068976609
32,12,sqrt,13,719,0.1456602382469787
33,30,log2,17,183,0.14753205120798785
34,4,log2,16,885,0.14478299750852341
35,1,log2,20,960,0.2779781376885573
36,1,sqrt,10,208,0.2782967897877955
37,1,log2,2,207,0.27842990039330906
38,1,auto,12,392,0.27879438438742377
39,28,sqrt,20,377,0.14460686298387804
40,11,log2,8,607,0.14332144940690905
41,17,log2,14,415,0.14524041487023232
42,1,log2,19,395,0.2783150662783951
43,7,log2,17,931,0.14618781725966523
44,2,auto,15,287,0.16627184856233657
45,9,auto,10,650,0.14389190175327682
46,39,log2,19,977,0.14546636082800268
47,28,sqrt,11,898,0.14601747083918537
48,5,log2,4,551,0.14958604868554704
49,14,auto,3,618,0.14512318814123015
50,29,sqrt,6,339,0.14285893101122105
51,15,auto,14,837,0.14648964287909527
52,34,log2,18,830,0.14496230125994192
53,25,auto,13,436,0.1454737861156673
54,46,sqrt,7,590,0.14345585366082858
55,1,log2,12,501,0.2799372474612679
56,2,auto,19,201,0.174999957635807
57,1,sqrt,11,415,0.2794182071442666
58,12,auto,6,505,0.1431778486569243
59,1,log2,8,295,0.2800949889937826
60,10,sqrt,16,587,0.147538366168664
61,1,sqrt,5,687,0.27940958603096966
62,1,auto,12,486,0.28027407283652617
63,3,log2,4,937,0.15161374685715445
64,5,log2,18,635,0.14365858635155093
65,9,auto,8,614,0.14318198725346165
66,23,log2,15,103,0.14625456320129104
67,2,log2,3,158,0.17197733542627858
68,17,log2,19,868,0.14519156625967755
69,1,sqrt,1,867,0.2764906499915041
70,10,auto,6,309,0.1425901367531559
71,18,auto,3,889,0.14467284906593103
72,1,sqrt,20,150,0.2711617721388725
73,1,log2,1,438,0.28039858274058127
74,3,auto,5,248,0.15346393674887315
75,4,log2,6,410,0.14943257207189098
76,9,auto,19,540,0.1445987375316402
77,1,auto,18,949,0.27874023755682775
78,2,log2,16,451,0.16413294476895413
79,31,log2,8,871,0.14196096339872377
80,16,sqrt,2,195,0.15050307671878083
81,13,sqrt,18,751,0.14447524513847776
82,12,auto,20,700,0.14511944430194657
83,3,auto,10,1000,0.14990912495449715
84,1,log2,18,776,0.2749502971732608
85,2,log2,3,351,0.16115069659827852
86,47,sqrt,1,318,0.1643650914966438
87,17,auto,14,241,0.14533081120035318
88,1,log2,18,401,0.27961808217759965
89,1,sqrt,18,660,0.2800321035855359
90,1,log2,15,898,0.2761518319586538
91,3,sqrt,12,166,0.15748276509085746
92,46,auto,18,671,0.14425800155622925
93,7,log2,11,666,0.1450155222403542
94,2,log2,6,983,0.16073345397115002
95,10,log2,1,872,0.1602288153615954
96,3,auto,15,254,0.15418673689571527
97,1,sqrt,1,701,0.2807987645368878
98,14,auto,14,782,0.14663900477421343
99,1,sqrt,6,163,0.2745088461056755
100,8,auto,5,113,0.14521098253963627
101,2,sqrt,20,954,0.16484669322824552
102,1,sqrt,5,478,0.28061818023145024
103,6,log2,19,509,0.14333638702139806
104,3,auto,17,299,0.15075091533616136
105,2,sqrt,1,481,0.16122763960118502
