,dt_max_depth,dt_min_samples_leaf,y
0,1,15,0.4411811799459926
1,3,11,0.27144814599656053
2,1,2,0.4411811799459926
3,7,15,0.1994715800580804
4,1,11,0.4411811799459926
5,7,1,0.23616888604971775
6,5,3,0.20868072414578764
7,21,17,0.21084669461471006
8,7,9,0.19059279368129578
9,26,12,0.19210136449674187
10,20,17,0.2132141942461414
11,1,6,0.4411811799459926
12,2,3,0.35242478102718844
13,6,18,0.21824880251831247
14,40,14,0.2013804930760733
15,1,15,0.4411811799459926
16,12,6,0.17966585550790737
17,1,20,0.4411811799459926
18,1,16,0.4411811799459926
19,1,8,0.4411811799459926
20,3,6,0.27144814599656053
21,27,12,0.19202698991932476
22,1,15,0.4411811799459926
23,4,3,0.20161230223816973
24,25,3,0.2045763026103583
25,5,15,0.20429856989267692
26,18,3,0.20278900082278972
27,1,11,0.4411811799459926
28,2,20,0.35242478102718844
29,49,15,0.20180406568390974
30,3,20,0.2758547022174651
31,32,7,0.1786685504097696
32,38,18,0.21824880251831247
33,19,16,0.20092809259765054
34,14,18,0.21824880251831247
35,6,20,0.22010912573245767
36,31,4,0.18045796944417103
37,9,12,0.19390126693585652
38,3,8,0.27144814599656053
39,4,12,0.20386574013095315
40,4,12,0.20386574013095315
41,7,17,0.2132141942461414
42,39,4,0.17869380736400586
43,18,15,0.1994715800580804
44,1,9,0.4411811799459926
45,41,2,0.23345166461238842
46,5,12,0.1987826656813525
47,3,17,0.27505193233868375
48,17,12,0.19390126693585652
49,3,12,0.27144814599656053
50,4,11,0.2038995467570518
51,1,7,0.4411811799459926
52,48,8,0.1767467688829918
53,1,9,0.4411811799459926
54,24,17,0.21084669461471006
55,4,12,0.20386574013095315
56,42,20,0.22010912573245767
57,1,4,0.4411811799459926
58,3,9,0.27144814599656053
59,1,16,0.4411811799459926
60,31,2,0.24010048074116086
61,24,13,0.1975725665891941
62,1,5,0.4411811799459926
63,3,5,0.27144814599656053
64,4,6,0.20161230223816973
65,9,17,0.21084669461471006
66,12,6,0.17941180822546254
67,1,11,0.4411811799459926
68,1,1,0.4411811799459926
69,4,19,0.21503054265758437
70,6,8,0.17856940375556252
71,44,19,0.22165661114030388
72,1,16,0.4411811799459926
73,1,18,0.4411811799459926
74,2,20,0.35242478102718844
75,15,17,0.2132141942461414
76,5,12,0.1987826656813525
77,1,15,0.4411811799459926
78,37,17,0.21084669461471006
79,27,15,0.1994715800580804
80,4,14,0.21155175109696311
81,1,14,0.4411811799459926
82,11,10,0.19309320769500127
83,2,3,0.35242478102718844
84,4,10,0.2038995467570518
85,1,2,0.4411811799459926
86,42,16,0.20326057822347987
87,3,16,0.27505193233868375
88,3,15,0.2744839810202252
89,2,8,0.35242478102718844
90,4,4,0.20161230223816973
91,36,10,0.19253201770176265
92,1,13,0.4411811799459926
93,15,7,0.17885685770761017
94,5,4,0.1971384204564519
95,1,14,0.4411811799459926
96,2,6,0.35242478102718844
97,1,1,0.4411811799459926
98,8,8,0.17688219546191686
99,1,13,0.4411811799459926
100,5,18,0.21855342764064878
101,15,8,0.17674250531208457
102,23,6,0.17941180822546254
103,9,2,0.23450549471287174
104,3,4,0.27144814599656053
