,max_depth,max_features,min_samples_leaf,n_estimators,y
0,5,sqrt,4,741,0.14560730919437026
1,1,log2,13,556,0.28191223571868373
2,4,log2,9,457,0.1441650437329418
3,1,log2,15,730,0.28266550380807876
4,1,log2,4,853,0.2820535380186282
5,2,auto,5,818,0.16564224386339266
6,1,sqrt,11,396,0.27730554873877167
7,47,log2,17,624,0.15035574676441532
8,1,sqrt,9,104,0.28058191917805453
9,3,log2,4,556,0.1540557880194371
10,8,log2,17,357,0.14960233540702217
11,1,sqrt,1,210,0.27728555303219016
12,1,auto,5,235,0.27998372098110547
13,15,auto,11,118,0.15121374684174926
14,3,log2,18,785,0.15129596264618161
15,8,log2,7,228,0.14469787359479902
16,7,auto,20,257,0.14923799371808344
17,8,log2,7,199,0.14425118169139728
18,27,auto,13,274,0.15004401331560513
19,6,sqrt,6,199,0.1414064985285759
20,1,log2,3,968,0.277974915313978
