,dt_max_depth,dt_min_samples_leaf,y
0,6,6,0.17636250446942225
1,8,2,0.23618909569547453
2,22,7,0.17944268517504347
3,9,14,0.2013804930760733
4,4,18,0.21619855581235958
5,33,9,0.18846819184694164
6,48,12,0.19310486478042788
7,1,14,0.4411811799459926
8,6,17,0.21319677871148457
9,10,6,0.17941180822546254
10,37,20,0.22010912573245767
11,26,2,0.2330931358684375
12,5,18,0.21855342764064878
13,7,3,0.19453163014642139
14,9,8,0.17632100546867824
15,25,16,0.20438295820995722
16,10,20,0.22010912573245767
17,2,17,0.35242478102718844
