,linear_C,y
0,5.609310981531108,0.008039584639883635
1,0.036490128805121196,0.02838260982223839
2,0.031361789956405664,0.028330861960359166
3,17.405594113982932,0.003562851747969553
4,72.96760087940787,0.0022242922907489415
5,568.0549418794368,0.0019944072332777063
6,0.056132149835303166,0.02737019341641944
7,3.869317637043067,0.012409610217072542
8,1.1711555926524266,0.02572619505922591
9,0.7549088125179387,0.026082247616090015
10,15.357369498711485,0.0035280206786557633
11,1.7205339456074291,0.024248215042492638
12,0.00514544359591126,0.04138568654101893
13,0.014387956884001393,0.029387603636295778
14,0.1926270195734809,0.026676636886949767
15,0.6873747081744535,0.026127311563683975
16,6.829879285697714,0.006942958616653727
