,max_depth,max_features,min_samples_leaf,n_estimators,y
0,2,log2,8,402,0.19868951612903218
1,8,log2,6,885,0.15639284234349105
2,1,log2,16,471,0.2298650070126227
3,7,sqrt,8,834,0.15190476380211648
4,3,sqrt,16,560,0.18945437013897748
5,47,auto,1,493,0.09555883829529532
6,30,sqrt,9,804,0.15274627852862432
7,4,sqrt,12,239,0.17850033469335713
8,5,auto,4,218,0.1618931690679588
9,1,sqrt,8,715,0.22671450656636494
10,7,auto,15,674,0.17144109396914453
11,20,sqrt,17,246,0.1751127597857961
12,38,log2,8,509,0.15862074461303077
13,16,log2,7,769,0.15385574716307526
14,41,sqrt,19,425,0.18147253123804652
15,1,log2,17,499,0.23126753155680224
16,1,log2,17,779,0.23001063846742298
17,37,sqrt,5,119,0.14683953844192277
