,max_depth,max_features,min_samples_leaf,n_estimators,y
0,18,log2,7,618,0.1290501973754401
1,4,sqrt,19,634,0.1615264589779153
2,3,auto,1,884,0.1597954230235784
3,6,auto,8,993,0.13673983783207078
4,8,sqrt,4,875,0.1270684412674704
5,2,log2,14,334,0.20725954870372354
6,8,sqrt,19,722,0.15294596180518505
7,10,sqrt,19,173,0.15713752267150327
8,12,auto,19,948,0.15303531420036265
9,47,log2,12,407,0.14065267257014824
10,9,auto,9,580,0.13550757494932264
11,11,sqrt,10,739,0.13551024218499952
12,31,auto,15,640,0.14877307158860553
13,48,log2,12,709,0.14128480742558414
14,47,auto,18,115,0.15677877947295416
15,3,auto,5,195,0.16374559906113306
16,3,log2,5,709,0.15840445961805183
17,4,log2,4,798,0.14445348340979414
18,1,log2,12,287,0.24368731996159165
