,dt_max_depth,dt_min_samples_leaf,y
0,2,3,0.3147291422170062
1,26,13,0.20668275898858413
2,3,1,0.2310086151712364
3,35,11,0.19422610156833464
4,16,6,0.24264176357622957
5,35,7,0.23767070308332439
6,10,2,0.26878800810839654
7,36,20,0.2015043209217966
8,21,12,0.2068501280273125
9,2,15,0.24262442654432947
10,31,8,0.22492131654753
11,7,2,0.21109236637149242
12,2,20,0.25519377467192994
13,37,19,0.2142877147124722
14,11,4,0.25760362210604915
15,14,6,0.22150992211671827
16,1,4,0.42756921476581666
17,5,17,0.18950642803798134
18,13,3,0.271867998506348
