,dt_max_depth,dt_min_samples_leaf,y
0,48,17,0.27363283740277955
1,8,8,0.262927530919291
2,1,2,0.37250394460028047
3,2,4,0.32647105699349743
4,1,18,0.37250394460028047
5,30,18,0.26365787963789367
6,2,1,0.32647105699349743
7,16,17,0.2757941994453652
8,24,7,0.24809971869820235
9,1,8,0.37250394460028047
10,25,8,0.25713594128522244
11,1,2,0.37250394460028047
12,34,4,0.24392949923498652
13,5,7,0.270476758733903
14,3,14,0.30178911529389274
15,42,15,0.2778845387606783
16,1,8,0.37250394460028047
17,17,6,0.2291828700752262
