,max_depth,max_features,min_samples_leaf,n_estimators,y
0,2,log2,9,855,0.1992738349483616
1,1,log2,1,432,0.2208041804794083
2,35,auto,3,706,0.11939528082366435
3,23,log2,6,474,0.15288832398316965
4,18,log2,18,373,0.18213434750733126
5,14,sqrt,20,155,0.17988313623613428
6,37,sqrt,14,628,0.16807682806324098
7,2,log2,12,508,0.20477236867270177
8,1,log2,11,324,0.23180682615070758
9,44,auto,13,946,0.16639200561009826
10,4,auto,3,414,0.15964554379701634
11,1,log2,20,696,0.2332758909218411
12,2,auto,20,258,0.20646077712609967
13,1,sqrt,9,360,0.2292011985209741
14,1,auto,9,587,0.22933786497513708
