,0,1,y
0,0.15546531789004797,0.588747326284647,0.67820996828382
1,0.8383846879005432,0.10406015068292618,0.10499629446640317
2,0.6133455634117125,0.8591920733451843,0.5031754032258065
3,0.4234736561775208,0.34349879622459406,0.15330031556802243
4,0.2549828588962555,0.9377279281616212,0.5
5,0.6881482601165771,0.4847027659416199,0.3581300602448043
6,0.9826380014419556,0.7393010854721069,0.5064012096774194
7,0.04252388700842858,0.19276981055736542,0.2242692528369247
8,0.11686140298843384,0.7523603439331055,0.5064012096774194
9,0.9239246249198912,0.29884687066078186,0.10148998310595436
