,0,1,2,3,y
0,0.0,0.3333333333333333,0.631578947368421,0.24222222222222223,0.2167820827489481
1,0.8694216207171604,0.0,0.0,0.6,0.09525950688512048
2,0.45801353078493934,0.6666666666666666,0.8421052631578947,0.47444444444444445,0.17790167187300782
3,0.17718382013555792,0.0,0.2631578947368421,0.8711111111111111,0.1998545677674359
4,0.41140808993222105,0.6666666666666666,0.21052631578947367,0.8955555555555555,0.1590719829784521
5,0.6746016897020856,0.3333333333333333,0.6842105263157895,0.26,0.17129366951421648
6,0.8123811710560552,0.6666666666666666,0.47368421052631576,0.6344444444444445,0.1531437268902206
7,0.0,0.0,0.9473684210526315,0.023333333333333334,0.2326608918781079
8,0.0,0.6666666666666666,0.42105263157894735,0.34444444444444444,0.22236130147902586
9,0.752664024490876,0.0,0.9473684210526315,1.0,0.1803056865995155
