,dt_max_depth,dt_min_samples_leaf,y
0,6,9,0.25161658883717974
1,24,13,0.2569374163266608
2,1,1,0.37250394460028047
3,2,16,0.30823305814101754
4,34,18,0.26218164286625023
5,5,5,0.2682156859620044
6,1,5,0.37250394460028047
7,41,5,0.25970013068978703
8,14,1,0.2657150484508479
9,3,9,0.2994110990692337
10,4,5,0.2859719654468954
11,12,3,0.2632683005546348
12,1,7,0.37250394460028047
13,1,9,0.37250394460028047
14,1,4,0.37250394460028047
15,2,15,0.30823305814101754
16,43,20,0.2584028950975392
17,3,17,0.29691793239194186
18,23,13,0.2525895902397044
19,16,3,0.26234968682264437
20,5,14,0.2653478818691828
21,1,9,0.37250394460028047
22,5,12,0.24708567751498156
23,10,3,0.2524771292872625
24,2,1,0.32647105699349743
25,6,5,0.2454627135662374
26,3,19,0.3004242437523905
27,3,9,0.2994110990692337
28,2,5,0.3200790115389519
29,38,14,0.26273368768328453
30,5,1,0.2512040991967359
31,2,8,0.32355643567512415
32,28,9,0.25602268742827994
33,1,6,0.37250394460028047
34,1,5,0.37250394460028047
35,1,16,0.37250394460028047
36,46,3,0.2695843427259976
37,3,19,0.3016865158421521
38,25,13,0.2584828828254494
39,2,15,0.30823305814101754
40,35,17,0.2755766487632284
41,41,4,0.23079457796761438
42,32,10,0.25367445492796126
43,4,17,0.27648809049470857
44,1,1,0.37250394460028047
45,4,14,0.2661526400930766
46,21,18,0.2645191173658039
47,17,14,0.2622923108185643
48,28,20,0.2598845108695652
49,5,15,0.26996635136427394
50,13,12,0.245989855603723
51,26,5,0.23364495011475195
52,14,12,0.24430951565089898
53,2,18,0.30823305814101754
54,17,13,0.2600409003251307
55,6,20,0.2659917681371924
56,1,20,0.37250394460028047
57,50,17,0.28072096535126856
58,4,3,0.27910178662501595
59,12,16,0.27097341976922107
60,1,18,0.37250394460028047
61,1,10,0.37250394460028047
62,2,10,0.30468192177738107
63,2,17,0.30823305814101754
64,1,4,0.37250394460028047
65,15,4,0.24716227846487304
66,24,18,0.2602882347316078
67,1,13,0.37250394460028047
68,6,20,0.267043661545327
69,1,12,0.37250394460028047
70,2,11,0.30468192177738107
71,4,13,0.26984781413362235
72,1,11,0.37250394460028047
73,37,17,0.2774521268965956
74,3,1,0.28296948712227465
75,36,3,0.27102541677291847
76,5,18,0.27189043972332005
77,35,17,0.2729891503570062
78,44,1,0.2517637144587529
79,4,3,0.2903171020336607
80,12,6,0.23558676925283684
81,19,1,0.23942528369246452
82,2,13,0.30823305814101754
83,1,5,0.37250394460028047
84,3,14,0.30178911529389274
85,1,16,0.37250394460028047
86,1,16,0.37250394460028047
87,2,2,0.32647105699349743
88,16,3,0.2506423921012366
89,40,20,0.2641064285031238
90,24,12,0.23961105842789743
91,1,1,0.37250394460028047
92,2,14,0.30823305814101754
93,13,3,0.2649396755068214
94,9,15,0.267767535541247
95,2,15,0.30823305814101754
96,11,2,0.25513694536529374
97,4,2,0.2870375055782226
98,1,20,0.37250394460028047
99,13,8,0.2519806674741807
100,1,9,0.37250394460028047
