,rbf_C,rbf_gamma,y
0,23.06891941007139,0.1184208748087953,0.113260232054061
1,215.2029143381997,0.030612561970608555,0.1035489449190361
2,749.4914467969884,897.3061011479556,0.5
3,0.0017575450471334865,49.21383749277761,0.5000504032258064
4,18.97467164905166,4.278867496786388,0.6601328413872243
5,0.6607773243239836,16.955772491691057,0.5150267356241234
6,181.00799334840497,62.54900641436715,0.5031754032258065
7,0.37065681305438747,22.93352083017728,0.5064012096774194
8,24.113976596184646,37.71353170091924,0.5064012096774194
9,0.0030978567381850543,289.97845376602396,0.5
10,6.480793143852698,0.28913222795855054,0.13889395798801485
11,0.3611060919766455,22.362524507773816,0.5064012096774194
12,0.14472432783101336,0.6082132246439146,0.316196369373964
13,0.14529868495858955,0.0071666151903933065,0.2342540721025118
14,0.015896388254022606,0.03752496258908272,0.19599423849292363
15,0.003434708694155484,56.305230639451175,0.5031754032258065
16,0.36938317364316375,0.004437949816674811,0.23904596455437965
17,0.006341203664320559,0.3320868625960467,0.14571233902843306
18,0.0012833451920795677,38.72379903509742,0.5000504032258064
19,0.5604205791607288,0.001792458222348712,0.2427104583705214
