,dt_max_depth,dt_min_samples_leaf,y
0,2,6,0.29079603648778407
1,1,11,0.42756921476581666
2,1,17,0.42756921476581666
3,16,7,0.23764669796223192
4,1,19,0.4200189373733062
5,2,8,0.2907353568761335
6,9,15,0.22411981222660837
7,1,14,0.42756921476581666
8,1,17,0.42756921476581666
9,1,10,0.42756921476581666
10,42,4,0.2603255361143709
11,12,18,0.22455057078843488
12,27,4,0.2570181638749599
13,1,14,0.42756921476581666
14,1,17,0.42756921476581666
15,11,4,0.25290395284327327
16,29,5,0.2379567641096767
17,16,14,0.21764443081190643
18,2,16,0.24262442654432947
19,34,7,0.23110330203776797
20,5,18,0.19485290195241656
