,max_depth,max_features,min_samples_leaf,n_estimators,y
0,17,sqrt,6,373,0.12804331590739348
1,1,log2,9,736,0.23326909740744683
2,10,sqrt,13,598,0.1418515950069349
3,24,sqrt,8,417,0.12890083217753134
4,14,log2,14,385,0.14409073935772976
5,40,log2,13,420,0.13997252747252753
6,44,log2,6,522,0.1266923610370213
7,2,auto,15,315,0.2038414861837191
8,1,sqrt,7,784,0.23326442974501227
9,11,auto,6,256,0.12920089619118758
10,10,sqrt,17,961,0.15020804438280178
11,1,auto,6,665,0.23266096767310362
12,1,auto,20,754,0.23803744798890425
13,36,auto,2,902,0.12186066360823644
14,2,auto,1,465,0.2081103968846687
15,1,auto,10,860,0.2337618691987624
16,8,auto,2,889,0.12665101888402863
17,2,log2,13,306,0.20465232582951032
18,23,auto,20,259,0.15496639283047065
19,4,sqrt,12,717,0.1546849994665529
20,4,sqrt,15,518,0.15748559692734432
21,44,auto,19,613,0.15339805825242725
22,8,log2,8,154,0.1317507734983463
23,4,auto,12,642,0.15492771791315485
