,max_depth,max_features,min_samples_leaf,n_estimators,y
0,1,auto,17,843,0.2852949622350177
1,1,sqrt,12,125,0.2876518729363824
2,19,sqrt,7,164,0.143453568690304
3,26,auto,1,913,0.16451469428996912
4,31,auto,8,881,0.14165543014213888
5,4,auto,20,576,0.14531179468432587
6,16,auto,15,165,0.14591463137529126
7,2,auto,9,591,0.1647607235711751
8,3,auto,4,460,0.15381840989159234
9,2,sqrt,17,936,0.16882392763517995
10,45,sqrt,8,369,0.14453519894456157
11,1,sqrt,16,383,0.29031034852482496
12,10,log2,15,724,0.14705520293141738
13,9,auto,20,722,0.15039390765930738
14,11,log2,15,680,0.14753513917253647
15,1,sqrt,12,581,0.287358770104313
16,4,sqrt,14,818,0.1443228792369391
17,7,sqrt,3,935,0.14475557131503525
18,44,auto,8,363,0.14414751920676971
19,1,log2,9,854,0.2861346055223497
20,15,auto,6,401,0.14558594454665774
21,35,auto,18,739,0.14771227310700996
22,14,sqrt,8,130,0.14394939265922502
23,2,sqrt,15,983,0.16778113841367814
