,max_depth,max_features,min_samples_leaf,n_estimators,y
0,2,auto,1,635,0.21184185959671398
1,7,auto,5,550,0.12956497386109034
2,22,sqrt,19,293,0.1536247732849676
3,3,log2,18,512,0.17976101568334568
4,24,sqrt,8,620,0.13333911234396678
5,17,log2,2,353,0.12417515736690488
6,3,sqrt,20,639,0.18123466339485772
7,1,sqrt,9,466,0.2375080017070308
8,1,auto,8,692,0.23471540595327
9,1,sqrt,2,172,0.24703736797183384
10,8,sqrt,3,261,0.1349007788328178
11,3,log2,18,318,0.18208551157580288
12,3,sqrt,7,940,0.1606556065293928
13,28,sqrt,18,134,0.15702816600874847
14,2,log2,7,965,0.21101434972794197
15,1,log2,13,764,0.23712458657847013
16,1,log2,16,839,0.23826749706604078
17,21,log2,3,140,0.12342833137736042
18,17,auto,15,417,0.14981729435612934
19,2,sqrt,15,132,0.20946735303531416
20,20,auto,10,235,0.14069268110530242
21,4,auto,9,302,0.15031473380987959
22,4,sqrt,16,450,0.1595633735196843
23,8,log2,8,161,0.13877360503574088
24,6,sqrt,13,465,0.14514963192147667
25,8,sqrt,20,374,0.15670809772751526
26,9,log2,7,343,0.13093459938120122
27,43,sqrt,11,463,0.1382148191614212
28,14,auto,1,929,0.1263169476154914
29,1,log2,12,704,0.2364984530033074
30,1,log2,18,559,0.2384402005761228
31,1,sqrt,5,498,0.24124279846367225
32,1,auto,11,161,0.24696401899071796
33,37,auto,18,736,0.15314733809879433
34,1,log2,9,797,0.23493812013229487
35,1,log2,3,781,0.24093473274298527
36,1,auto,10,333,0.24186693161207728
37,5,auto,10,406,0.1489251040221914
38,7,log2,17,870,0.15215112557345578
39,7,auto,1,745,0.12660834311319769
40,8,sqrt,11,226,0.14074469220100294
41,1,sqrt,13,138,0.248921103168676
42,6,log2,10,419,0.14349461218393245
43,1,auto,18,311,0.24856235997012688
44,30,auto,16,112,0.15884855435826317
45,7,auto,1,885,0.1254334257975035
46,34,log2,3,398,0.1211645150965539
47,45,auto,11,261,0.13881761442441065
48,32,auto,11,693,0.13794942921156506
49,15,sqrt,15,551,0.1491744905579857
50,26,sqrt,3,858,0.12122719513496205
51,1,auto,11,544,0.23578830150432095
52,36,log2,17,791,0.15188306838792287
53,2,auto,3,262,0.21149845300330739
54,1,sqrt,6,775,0.23679318254560977
55,3,sqrt,17,498,0.17944628187346634
56,8,log2,19,418,0.15462231942814475
57,13,auto,13,262,0.14273445001600338
58,5,log2,6,409,0.14511362423983787
59,4,log2,18,792,0.16335751627013761
60,1,auto,13,485,0.24011055691880934
61,22,log2,10,942,0.136463778939507
62,5,sqrt,11,803,0.1444801557665636
63,1,log2,6,675,0.23615571321882
64,33,auto,17,855,0.15188440200576137
65,6,log2,16,368,0.15246719300117362
66,1,auto,14,593,0.238333511149045
67,2,log2,5,294,0.20917929158220416
68,7,auto,13,368,0.1438493545289662
69,2,log2,11,730,0.20991544862904088
70,2,log2,9,457,0.21086231729435623
71,2,log2,20,380,0.21061826522991567
72,1,sqrt,11,631,0.23571962018563963
73,1,log2,8,708,0.23473140936733183
74,22,log2,17,546,0.15280059746079167
75,1,auto,2,492,0.24046263202816598
76,10,log2,2,466,0.12470660407553624
77,22,auto,6,852,0.12792329030193117
78,6,auto,6,175,0.1378680785234183
79,41,sqrt,13,495,0.14268377253814146
80,2,sqrt,15,639,0.21103702123119594
81,11,auto,15,850,0.1484730075749493
82,47,sqrt,11,489,0.13848954443614636
83,4,auto,4,492,0.14639523098260965
84,33,log2,4,373,0.12605889256374692
85,1,auto,19,516,0.23956510722287416
86,5,log2,5,190,0.14512829403606098
87,3,sqrt,19,425,0.18218153206017274
88,6,auto,11,596,0.14354929051531007
89,35,auto,15,359,0.15133095060279533
90,37,log2,14,283,0.14882374906646767
91,2,auto,15,433,0.21187853408727209
92,8,sqrt,5,659,0.13006774778619445
93,23,sqrt,20,832,0.15680011735836974
94,5,sqrt,18,878,0.15764429745012287
95,18,sqrt,4,561,0.12823135602261826
96,1,log2,3,322,0.2502480529179558
97,25,auto,5,691,0.12608956577403185
98,2,sqrt,8,202,0.20714952523204955
99,33,auto,1,814,0.12625426757708313
100,18,log2,1,199,0.12994438813613574
101,3,auto,3,110,0.1589639123012908
102,1,log2,8,570,0.23407660300864186
103,28,sqrt,10,834,0.13687986770511051
