,XGB_max_depth,XGB_n_estimators,colsample_bylevel,colsample_bytree,eta,min_child_weight,reg_alpha,reg_lambda,subsample,y
0,1,125,0.7360234354686304,0.8112140743486552,0.059802415490877975,1.1571294380728276,830.546147250108,0.9050468500833179,0.2145759782939956,0.5
1,1,189,0.7186617264451999,0.1724330305457753,0.9207283634534572,44.95817777576264,129.2502837434208,0.4599011818974369,0.36320453847740475,0.5
2,25,252,0.32769871796611666,0.9542884840025032,0.7966352486869219,3.973246312846754,0.012459035025739112,191.34831818297334,0.592989345966271,0.15005267790461974
3,1,308,0.07118080900235096,0.4406788900842812,0.3950530128852529,33.93765625313821,0.002425085171577498,1.9435901781690355,0.6818551064713997,0.28190347274085137
4,4,414,0.06231028052835883,0.4380997480063079,0.44411509486948797,78.65153026838455,0.2210605506378745,0.8229320313578353,0.10827905665227217,0.5
5,1,375,0.8874714345643951,0.25166030071200174,0.03713504060623143,22.977215040951542,0.003754442895383423,21.04211031558937,0.407775035244447,0.2691020751093566
6,2,456,0.9076684162313702,0.5033034604822143,0.24209451671355214,2.4300385507363926,24.35201401589195,0.018417770457569635,0.3186062135734683,0.2458424463885629
7,13,449,0.1537375227048531,0.3471771810344082,0.005671712353039588,1.2383863133314914,0.003132235888735771,3.527469017438008,0.492540290041513,0.1937306625413422
8,1,223,0.4511807463560886,0.4960193121772709,0.0012347998245022297,4.114379141223273,0.015776446362072136,1.4518090524171823,0.37557968491078486,0.21873933105729226
9,1,464,0.4212764107226436,0.6970365111147717,0.0116542959796268,1.8985552466535869,582.0727549582641,203.95051109801085,0.6907231023245962,0.5
10,1,308,0.4423837844651446,0.5466066218963104,0.6892247482542597,5.495631039088441,104.32233772727471,16.39776689469938,0.6964312872957732,0.361983223087592
11,6,278,0.573834575751257,0.9599957259022779,0.00788825060068779,22.800990474018256,441.02660654731704,0.020448700163974685,0.4363505559581027,0.5
12,34,450,0.867873861634672,0.2972569911373628,0.001420801776234641,4.64843674701091,1.2589940900502472,0.43384367932630497,0.40739527801860265,0.20282326896404568
13,8,377,0.7701378047550309,0.878383869440568,0.30607733960257116,96.02831433810464,0.0038955955342085667,0.03452526847158084,0.21385868415823606,0.5
14,3,285,0.1881078047984935,0.8505560106527555,0.05208009797282944,3.9531064281455817,0.020154898150711885,0.33035337534482573,0.6904975943629382,0.1363944308119065
15,1,354,0.25409871412230045,0.24186309519229407,0.0014879761208465676,2.5108383739111813,308.7360193796018,171.4413540171309,0.4375062305159214,0.5
16,2,263,0.6619227006375619,0.9338977796546952,0.001107354024218886,1.554459572164749,0.2961851407143257,35.27116062279571,0.9814327664370164,0.37070241651552327
17,6,195,0.30163936791323415,0.26359523486675357,0.13301208230369793,36.6115818637286,13.756896346108105,0.006294653039888449,0.5137340344057504,0.49017857142857146
18,32,214,0.25885329327235396,0.26157384387736365,0.013667080737763064,47.82786344859686,0.12046870365838298,236.45386667984334,0.49162735212910513,0.5
19,3,445,0.061594207802731976,0.7034910137021663,0.03413924009753755,7.762960458647309,321.3577439923909,0.15668242917474817,0.21379185906192577,0.5
20,5,161,0.24432029059244825,0.959661187179809,0.0031394189668959,116.83250119550758,0.37752062814968956,0.014692190296981223,0.7803304557903878,0.5
